Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,besplatna_dostava (product.metafields.custom.besplatna_dostava),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Application method (product.metafields.shopify.application-method),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Brush material (product.metafields.shopify.brush-material),Cleaning surfaces (product.metafields.shopify.cleaning-surfaces),Coffee product form (product.metafields.shopify.coffee-product-form),Coffee roast (product.metafields.shopify.coffee-roast),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic function (product.metafields.shopify.cosmetic-function),Country (product.metafields.shopify.country),Dirt separating method (product.metafields.shopify.dirt-separating-method),Dispenser type (product.metafields.shopify.dispenser-type),Dry/Wet cleaning (product.metafields.shopify.dry-wet-cleaning),Dust container type (product.metafields.shopify.dust-container-type),Fabric (product.metafields.shopify.fabric),Flavor (product.metafields.shopify.flavor),Handle material (product.metafields.shopify.handle-material),Handwear material (product.metafields.shopify.handwear-material),Ingredients (product.metafields.shopify.ingredients),Item condition (product.metafields.shopify.item-condition),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Organizer type (product.metafields.shopify.organizer-type),Package type (product.metafields.shopify.package-type),Product form (product.metafields.shopify.product-form),Shampoo type (product.metafields.shopify.shampoo-type),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Vacuum air filtering technology (product.metafields.shopify.vacuum-air-filtering-technology),Vehicle application area (product.metafields.shopify.vehicle-application-area),Vehicle fluid type (product.metafields.shopify.vehicle-fluid-type),Vehicle type (product.metafields.shopify.vehicle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
masina-za-pranje-casa-i-posuda-aristarco-af-40-30-esi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/AF4030-ESI-LS-tqa-tazzine-500x0-c-default.webp?v=1752756230,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-casa-i-posuda-aristarco-af-40-30-esi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/Particolare-AF-AS-40-scaled-500x0-c-default.webp?v=1752756230,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-casa-i-posuda-aristarco-af-40-30-esi-ls,Mašina za pranje čaša i posuđa Aristarco AF 40.30 ESI LS,"<h2 data-start=""106"" data-end=""184""><strong data-start=""106"" data-end=""184"">Profesionalna mašina za pranje čaša i posuđa</strong></h2>
<p data-start=""186"" data-end=""354"">Kompaktna, ali izuzetno efikasna, mašina <strong data-start=""227"" data-end=""251"">AF 40.30 ESI LS S DD</strong> savršen je izbor za ugostiteljske objekte s ograničenim prostorom, ali visokim standardima higijene.</p>
<p data-start=""356"" data-end=""822"">✅ Dimenzije: 455 x 550 x 700 mm<br data-start=""391"" data-end=""394"">✅ Dimenzija korpe: 400 x 400 mm<br data-start=""429"" data-end=""432"">✅ Maksimalna visina posuđa: 300 mm<br data-start=""470"" data-end=""473"">✅ Ciklusi pranja: 90 / 120 / 180 / 540 sekundi<br data-start=""523"" data-end=""526"">✅ Potrošnja vode po ciklusu: samo 2 litra<br data-start=""571"" data-end=""574"">✅ Snaga pumpe: 190 W<br data-start=""598"" data-end=""601"">✅ Grijač tank/bojler: 2.4 / 2.7 kW<br data-start=""639"" data-end=""642"">✅ Kapacitet tank/bojler: 12 l / 3 l<br data-start=""681"" data-end=""684"">✅ Preporučeni vodeni pritisak: 2–5 bara<br data-start=""727"" data-end=""730"">✅ Težina uređaja: 36,5 kg<br data-start=""759"" data-end=""762"">✅ Napajanje: 230V – 50Hz<br data-start=""790"" data-end=""793"">✅ Ukupna snaga: 2,89 kW</p>
<p data-start=""824"" data-end=""858""><strong data-start=""824"" data-end=""856"">Napredne funkcije uključuju:</strong></p>
<ul data-start=""859"" data-end=""1040"">
<li data-start=""859"" data-end=""912"">
<p data-start=""861"" data-end=""912"">Elektronske komande s jasnim digitalnim displejom</p>
</li>
<li data-start=""913"" data-end=""944"">
<p data-start=""915"" data-end=""944"">Prikaz trenutne temperature</p>
</li>
<li data-start=""945"" data-end=""995"">
<p data-start=""947"" data-end=""995"">Termostop sistem za optimalnu kontrolu toplote</p>
</li>
<li data-start=""996"" data-end=""1040"">
<p data-start=""998"" data-end=""1040"">Ugrađeni filter tanka za dodatnu čistoću</p>
</li>
</ul>
<p data-start=""1042"" data-end=""1064""><strong data-start=""1042"" data-end=""1062"">U paketu dolazi:</strong></p>
<ul data-start=""1065"" data-end=""1133"">
<li data-start=""1065"" data-end=""1088"">
<p data-start=""1067"" data-end=""1088"">Dvije korpe za čaše</p>
</li>
<li data-start=""1089"" data-end=""1110"">
<p data-start=""1091"" data-end=""1110"">Korpica za escajg</p>
</li>
<li data-start=""1111"" data-end=""1133"">
<p data-start=""1113"" data-end=""1133"">Držač za tanjiriće</p>
</li>
</ul>
<p data-start=""1135"" data-end=""1261"">Idealan balans između performansi i uštede resursa – savršen izbor za restorane, barove, kafiće i manja kuhinjska postrojenja.</p>",Aristarco,Home & Garden > Kitchen & Dining > Kitchen Appliances > Dishwashers,"","Kuhinjska oprema, Masina za pranje posuđa, mašina za pranje suđa, Ugostiteljska oprema",true,Title,Default Title,,,,,,,,AF40.30ESILSSDD,0.0,,deny,manual,3590.00,3900.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0811/5565/3912/files/AF4030-ESI-LS-tqc-500x0-c-default.webp?v=1752756230,1,"",false,Profesionalna Mašina za posuđe Aristarco AF 40.30 ESI LS,"Profesionalna mašina za pranje čaša i posuđa idealna za ugostitelje u BiH. Štedi vodu i energiju, uz vrhunske performanse i kompaktne dimenzije.",,,,,,,,,,,,silver,,,,,,,,,,,,,,,counter,,,,,,,,,,,,,,,,,kg,,,active
masina-za-pranje-casa-i-posuda-aristarco-af-40-30-esi-ls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/AF4030-ESI-LS-tqa-tazzine-500x0-c-default.webp?v=1752756230,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-casa-i-posuda-aristarco-af-40-30-esi-ls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/Particolare-AF-AS-40-scaled-500x0-c-default.webp?v=1752756230,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-ciscenje-podova-eureka-e50,Mašina za pranje i čišćenje podova Eureka E50,"<h2 data-end=""408"" data-start=""61""><strong data-end=""75"" data-start=""61"">Mašina za pranje i čišćenje podova</strong></h2>
<p data-end=""408"" data-start=""61""><strong data-end=""75"" data-start=""61"">EUREKA E50</strong> je ručna <a title=""Mašina za pranje i čišćenje podova Eureka E50"" href=""https://greentime.ba/products/masina-za-pranje-ciscenje-podova-eureka-e50""><strong data-end=""114"" data-start=""85"">mašina za pranje i čišćenje podova</strong></a>, idealna za osnovno čišćenje i redovno održavanje srednjih i velikih površina. Ova mašina <strong>savršeno uklanja prljavštinu i prašinu, perući i sušeći pod u jednom prolazu</strong>. Posebno je dizajnirana za jednostavno rukovanje, pružajući visoku efikasnost, pouzdanost i kvalitet po pristupačnoj cijeni.</p>
<p data-end=""867"" data-start=""410""><strong>Profesionalna mašina za čišćenje podova</strong> <strong data-end=""457"" data-start=""450"">E50</strong> ne koristi složene elektronske komponente – samo mehaničke i električne dijelove. Kretanje mašine omogućava četka (<strong data-end=""581"" data-start=""573"">BASE</strong> verzija) ili električni motor koji pokreće točkove (<strong data-end=""642"" data-start=""634"">TRAC</strong> verzija). Idealan je izbor za čišćenje <strong>podova u skladištima, proizvodnim pogonima, javnim zgradama, prodavnicama, komercijalnim objektima, školama, bolnicama i poslovnim prostorima.</strong> <strong data-end=""865"" data-start=""825""></strong>Dostupna je u dvije verzije:</p>
<ul data-end=""1107"" data-start=""901"">
<li data-end=""982"" data-start=""901"">
<strong data-end=""911"" data-start=""903"">E50C</strong> – sa <strong>kablovskim napajanjem</strong> koje omogućava <strong>neograničeno vrijeme rada</strong>.</li>
<li data-end=""1107"" data-start=""983"">
<strong data-end=""993"" data-start=""985"">E50B</strong> – sa <strong>GEL baterijama</strong> bez održavanja, koje omogućavaju neprekidan rad do <strong data-end=""1075"" data-start=""1065"">3 sata</strong>, uz <strong>potpunu slobodu kretanja.</strong>
</li>
</ul>
<p data-end=""1132"" data-start=""1109""><strong data-end=""1130"" data-start=""1109"">Glavne prednosti:</strong></p>
<p data-end=""1483"" data-start=""1134"">✔ <strong>Izuzetno snažan vakuumski motor</strong> koji ostavlja pod potpuno suhim nakon čišćenja<br data-end=""1217"" data-start=""1214"">✔ <strong>Najjednostavniji sistem upravljanja</strong> mašinom za čišćenje podova<br data-end=""1284"" data-start=""1281"">✔ <strong>Poliuretanske gume</strong> – ne ostavljaju tragove, otporne na klizanje i ulja<br data-end=""1359"" data-start=""1356"">✔ Plastično kućište, čelična šasija i usisna čaša <strong>otporna na udarce</strong><br data-end=""1429"" data-start=""1426"">✔ <strong data-end=""1442"" data-start=""1431"">Opcija:</strong> Sistem doziranja <strong data-end=""1481"" data-start=""1460"">EUREKA Dose Matic</strong></p>",Eureka,Home & Garden > Household Appliances > Floor & Steam Cleaners > Floor Scrubbers > Walk-Behind Floor Scrubbers,"","mašina za pranje podova, mašina za čišćenje podova, mašine za pranje podova, mašine za čišćenje podova",true,Title,Default Title,,,,,,,,M2025E50,0.0,,deny,manual,6700.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/masina_za_pranje_ciscenje_podova_eurekae50.webp?v=1741369469,1,Mašina za pranje i čišćenje podova Eureka E50 – kompaktna i efikasna podna mašina za profesionalno čišćenje tvrdih površina.,false,Mašina za pranje i čišćenje podova | EUREKA E50 Made in Italy,"EUREKA E50 mašina za čišćenje podova, idealna za efikasno pranje i sušenje u jednom prolazu. Savršene za skladišta, prodavnice, škole i poslovne prostore.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
masina-za-pranje-ciscenje-podova-eureka-e50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/e50dosaggio800x800.webp?v=1740174038,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-ciscenje-podova-eureka-e50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/120100-12132834.webp?v=1740174038,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-ciscenje-podova-eureka-e50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/unnamed.webp?v=1740174038,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-ciscenje-podova-eureka-e50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/Eureka_E50_pic_13.webp?v=1740174413,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masina-za-pranje-ciscenje-podova-eureka-e50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0811/5565/3912/files/Eureka_E50_pic_7.webp?v=1740174412,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
